id,isPlace,key,value,page,name:en,plural:en,name:am,plural:am,name:de,plural:de
67,FALSE,sport,swimming,swimming-pools,Swimming,Swimming Pools,ዋና,ዋና,Schwimmbad,Schwimmbäder
68,FALSE,sport,tennis,tennis-courts,Tennis,Tennis Courts,ቴኒስ,ቴኒስ,Tennisplatz,Tennisplätze
69,FALSE,sport,gymnastic,gyms,Gymnastic,Gyms,ጅምናስቲክ,ጅምናስቲክ,Fitnessstudio,Fitnessstudios
70,FALSE,tourism,zoo,zoos,Zoo,Zoos,የእንስሳት ግቢ,የእንስሳት ግቢዎች ,Zoo,Zoos
71,FALSE,tourism,museum,museums,Museum,Museums,ሙዚየም,ሙዚየሞች ,Museum,Museen
72,FALSE,tourism,guest_house,guest-houses,Guest House,Guest Houses,እንግዳ ማረፊያ,እንግዳ ማረፊያዎች ,Gästehaus,Gästehäuser
73,FALSE,tourism,hostel,hostels,Hostel,Hostels,ሆስቴል,ሆስቴሎች ,Hostel,Hostels
74,FALSE,tourism,hotel,hotels,Hotel,Hotels,ሆቴል,ሆቴሎች,Hotel,Hotels
75,FALSE,tourism,motel,motels,Motel,Motels,ሞቴል,ሞቴሎች,Motel,Motels
76,TRUE,place,city,cities,City,Cities,ከተማ,ከተማዎች,Stadt,Städte
77,TRUE,place,hamlet,cities2,City,Cities,ከተማ,ከተማዎች ,Stadt,Städte
78,TRUE,place,subcity,subcities,Subcity,Subcities,ክፍለ ከተማ,ክፍለ ከተማዎች ,Stadteil,Stadtteile
79,TRUE,highway,primary,main-streets,Main Street,Main Streets,ዋና መንገድ,ዋና መንገዶች ,Hauptstraße,Haupstraßen
80,TRUE,highway,secondary,secondary-streets,Street,Secondary Streets,ሁለተኛ መንገድ,ሁለተኛ መንገዶች ,Straße,Straßen
81,TRUE,highway,tertiary,tertiary-streets,Street,Tertiary Streets,ተለዋጭ መንገድ,ተለዋጭ መንገዶች ,Straße,Straßen
82,TRUE,highway,residential,residential-roads,Residential Road,Residential Roads,የመኖሪያ አካባቢ መንገድ,የመኖሪያ አካባቢ መንገዶች ,Wohngebiet,Wohngebiete
9999,FALSE,business,yes,businesses,Business,Businesses,ንግድ ,ንግድ ስራዎች  ,Geschäft,Geschäfte
83,TRUE,place,suburb,areas,Area,Areas,አካባቢ,አካባቢዎች,Bezirk,Bezirke
84,TRUE,building,yes,buildings,Building,Buildings,ህንፃ,ህንፃዎች ,Gebäude,Gebäude
85,FALSE,internet_access,terminal,internet-cafes,Internet Cafe,Internet Cafes,ኢንተርኔት ካፌ,ኢንተርኔት ካፌዎች,Internet Cafe,Internet Cafes
86,FALSE,office,ngo,ngos,Non-Governmental-Organisation (NGO),Non-Governmental-Organisations (NGOs),መንግስታዊ ያልሆነ ድርጅት,መንግስታዊ ያልሆኑ ድርጅቶች ,Nichtregierungsorganisation,Nichtregierungsorganisationen
87,FALSE,office,governmental,governmental-offices,Governmental Office,Governmental Offices,የመንግስት ድርጅት,የመንግስት ድርጅቶች,Behörde,Behörden
88,FALSE,aeroway,aerodrome,airports,Airport,Airports,አየር ማረፊያ,አየር ማረፊያዎች ,Flughafen,Flughäfen
99,FALSE,sport,10pin,bowling,Bowling,Bowling Facilities,ቦውሊንግ መጫወቻ,ቦውሊንግ መጫወቻዎች ,Bowlingbahn,Bowlingbahnen
100,FALSE,shop,greengrocer,greengrocer,Greengrocer,Greengrocers,አትክልት መሸጫ ሱቆች,አትክልት መሸጫ ሱቆች,Gemüsehändler,Gemüsehändler
101,FALSE,landuse,industrial,industrial,Industry,Industries,ኢንዱስትሪ,ኢንዱስትሪዎች ,Industrie,Industrien
102,FALSE,amenity,community_centre,community-center,Community Center,Community Centers,የማህበረሰብ ማዕከል,የማህበረሰብ ማዕከላት,,
103,FALSE,shop,department_store,department-stores,Department Store,Department Stores,የተደራጀ ግዙፍ ማከፋፈያ,የተደራጁ ግዙፍ ማከፋፈያዎች,,
104,FALSE,building,house,houses,Residential House,Residential Houses,የመኖሪያ ቤት,የመኖሪያ ቤቶች ,,
105,FALSE,office,estate_agent,estate-agents,Real Estate Agent ,Real Estates Agents,የሪል እስቴት ወኪል,የሪል እስቴት ወኪሎች,,
106,FALSE,office,insurance,insurances,Insurance,Insurances,ኢንሹራንስ,ኢንሹራንሶች,,
107,FALSE,building,industrial,industrials,Industrial Office,Industrial Offices,የኢንዱስትሪ ቢሮ,የኢንዱስትሪ ቢሮ ,,
108,FALSE,building,apartments,apartments,Apartment,Apartments,የመኖሪያ ቤት,የመኖሪያ ቤቶች ,,
109,FALSE,building,house,houses,House,Houses,ቤት,ቤቶች,,
110,FALSE,shop,massage,massages,Massage,Massages,ማሳጅ ቤት,ማሳጅ ቤቶች,,
111,FALSE,shop,beauty,beauty/spas,Beauty/Spa,Beauty/Spas,ውበት / ስፓ,ውበቶች / ስፓዎች,,
112,FALSE,building,office,offices,Office,Offices,ቢሮ,ቢሮዎች,,
113,FALSE,amenity,biergarten,biergartens,Biergarten,Biergartens,,,,
114,FALSE,amenity,food_court,food-courts,Food-court,Food-courts,,,,
115,FALSE,amenity,ice_cream,Ice-creams,Ice-Cream,Ice-Creams,አይስ ክሬም,አይስ ክሬሞች,,
116,FALSE,amenity,music_school,music-schools,Music School,Music Schools,የሙዚቃ ትምህርት ቤት,የሙዚቃ ትምህርት ቤቶች,,
117,FALSE,amenity,driving_school,driving-schools,Driving School,Driving Schools,የመኪና ትምህርት ቤት,የመኪና ትምህርት ቤቶች,,
118,FALSE,amenity,bicycle_repair_station,bicycle-repair-stations,Bicycle Repair Station,Bicycle Repair Stations,ቢስክሌት ጠጋኝ,ቢስክሌት ጠጋኞች,,
119,FALSE,amenity,bureau_de_change,bureau-de-changes,Bureau De Change,Bureau De Changes,የውጭ ምንዛሬ ቢሮ,የውጭ ምንዛሬ ቢሮዎች,,
120,FALSE,amenity,clinic,clinics,Clinic,Clinic,ክሊኒክ,ክሊኒኮች,,
121,FALSE,amenity,marketplace,marketplaces,Marketplace,Marketplaces,የገበያ ቦታ,የገበያ ቦታዎች,,
122,FALSE,building,commercial,commercial-buildings,Commercial Building,Commercial Buildings,የንግድ ህንፃ,የንግድ ህንፃዎች,,
123,FALSE,building,retail,retail-buildings,Retail Building,Retail Buildings,የችርቻሮ ህንፃ,የችርቻሮ ህንፃዎች,,
124,FALSE,building,warehouse,warehouses,Warehouse,Warehouses,የዕቃ ቤት,የዕቃ ቤቶች,,
